Expected Goals (xG)_home,Expected Goals (xG)_away,Ball Possession_home,Ball Possession_away,Total shots_home,Total shots_away,Shots on target_home,Shots on target_away,Big Chances_home,Big Chances_away,Corner Kicks_home,Corner Kicks_away,Passes_home,Passes_away,Yellow Cards_home,Yellow Cards_away,xG on target (xGOT)_home,xG on target (xGOT)_away,Shots off target_home,Shots off target_away,Blocked Shots_home,Blocked Shots_away,Shots inside the Box_home,Shots inside the Box_away,Shots outside the Box_home,Shots outside the Box_away,Hit the Woodwork_home,Hit the Woodwork_away,Touches in opposition box_home,Touches in opposition box_away,Accurate through passes_home,Accurate through passes_away,Offsides_home,Offsides_away,Free Kicks_home,Free Kicks_away,Long passes_home,Long passes_away,Passes in final third_home,Passes in final third_away,Crosses_home,Crosses_away,Expected assists (xA)_home,Expected assists (xA)_away,Throw-ins_home,Throw-ins_away,Fouls_home,Fouls_away,Tackles_home,Tackles_away,Duels won_home,Duels won_away,Clearances_home,Clearances_away,Interceptions_home,Interceptions_away,Errors leading to shot_home,Errors leading to shot_away,Errors leading to goal_home,Errors leading to goal_away,Goalkeeper Saves_home,Goalkeeper Saves_away,xGOT faced_home,xGOT faced_away,Goals prevented_home,Goals prevented_away,Red Cards_home,Red Cards_away,Headed Goals_home,Headed Goals_away
1.79,0.27,63%,37%,20,3,7,0,6,0,6,1,82%,74%,0,2,2.35,0.00,7,3,6,0,10,2,10,1,0,0,53,13,1,0,2,2,16,19,33%,31%,74%,59%,32%,25%,1.92,0.43,23,9,19,16,67%,65%,64,54,9,29,8,6,0,0,0,1,0,5,0.00,2.35,0.00,0.35,,,,
1.74,2.84,47%,53%,13,20,3,5,5,2,1,6,84%,86%,,,1.29,2.55,6,7,4,8,11,16,2,4,0,0,32,46,1,0,2,0,5,11,53%,61%,64%,71%,46%,17%,0.58,1.15,16,17,11,5,47%,64%,40,41,29,14,11,13,0,1,0,0,3,3,2.55,1.29,0.55,1.29,,,,
0.79,1.01,41%,59%,14,10,4,6,1,1,4,0,84%,87%,1,1,0.25,1.82,5,1,5,3,10,7,4,3,0,0,32,16,0,0,2,1,9,10,56%,39%,79%,70%,14%,22%,0.55,0.59,17,18,10,9,67%,40%,42,56,25,34,10,9,0,1,1,0,3,3,1.82,0.25,-1.18,-0.75,,,,
2.17,1.75,69%,31%,14,8,3,5,4,2,11,0,87%,71%,2,0,1.46,2.48,7,2,4,1,12,6,2,2,1,1,34,15,2,0,1,2,10,7,54%,34%,74%,49%,15%,33%,1.53,0.81,16,10,7,10,58%,53%,48,43,17,51,11,16,0,0,0,0,4,2,2.48,1.46,1.48,0.46,1,0,,
2.86,0.40,67%,33%,24,6,10,1,4,0,4,3,88%,73%,2,2,3.11,0.04,13,2,1,3,13,4,12,2,1,0,51,18,3,0,5,3,10,10,68%,31%,82%,60%,33%,0%,1.93,0.27,12,8,10,10,79%,44%,47,39,21,20,7,5,1,1,0,0,1,8,0.04,3.11,0.04,1.11,0,1,1,0
1.27,0.90,66%,34%,17,14,6,6,1,1,12,3,87%,78%,1,4,2.15,1.08,7,6,4,2,10,9,7,5,0,0,28,13,0,0,0,0,9,12,47%,44%,76%,55%,31%,27%,0.87,0.29,22,16,12,9,80%,67%,41,50,22,25,1,12,2,0,0,0,5,6,1.08,2.15,0.04,2.15,,,0,1
1.35,1.07,52%,48%,10,6,2,2,2,3,7,4,84%,80%,2,2,0.14,1.09,4,2,4,2,8,4,2,2,0,0,28,9,1,0,5,1,11,10,46%,25%,70%,64%,21%,8%,0.85,0.65,25,17,10,11,64%,63%,36,38,22,36,4,4,0,1,1,0,1,2,1.09,0.14,0.09,0.14,,,,
0.63,2.20,39%,61%,7,23,2,8,0,3,5,8,81%,91%,,,1.11,1.48,2,5,3,10,5,16,2,7,0,0,17,38,0,1,1,0,8,7,37%,64%,58%,88%,27%,21%,0.52,2.05,12,14,7,8,44%,22%,51,48,28,23,5,2,0,1,0,0,6,1,1.48,1.11,-0.52,0.11,,,1,0
1.95,2.27,32%,68%,4,24,2,9,3,4,2,11,77%,90%,3,1,1.55,4.05,1,7,1,8,4,18,0,5,0,1,10,46,0,1,1,2,8,13,39%,59%,40%,81%,0%,36%,0.25,1.37,21,10,13,8,50%,79%,33,54,39,7,9,7,1,0,0,0,5,1,4.05,1.55,-0.04,0.55,,,,
1.12,1.43,48%,52%,18,13,6,7,1,3,8,3,81%,84%,2,1,0.78,2.11,8,5,4,1,8,11,10,2,0,1,34,27,1,0,3,1,9,7,42%,52%,76%,63%,19%,31%,0.74,0.62,23,19,7,9,64%,59%,66,45,23,21,5,6,1,1,1,0,6,5,2.11,0.78,1.11,-0.22,,,,
1.69,1.52,32%,68%,14,12,10,3,2,2,0,9,73%,87%,1,2,3.58,1.88,4,3,0,6,11,8,3,4,0,0,20,20,1,0,2,0,8,14,34%,44%,56%,69%,50%,29%,0.96,0.77,18,30,14,8,55%,67%,41,46,30,15,6,2,0,0,0,0,1,6,1.88,3.58,-0.12,-0.42,,,0,2
1.60,1.06,58%,42%,12,8,5,2,2,2,3,1,90%,85%,1,3,1.48,0.63,5,4,2,2,5,6,7,2,1,1,20,16,2,0,2,3,13,7,55%,44%,84%,71%,29%,33%,1.11,0.36,14,14,7,13,44%,55%,28,26,19,25,6,5,2,0,1,1,1,2,0.63,1.48,-0.19,-1.52,1,1,,
2.34,2.11,49%,51%,25,18,12,5,2,3,3,3,87%,87%,1,0,3.87,1.45,9,6,4,7,17,12,8,6,0,0,60,45,2,0,2,1,8,9,65%,48%,83%,74%,21%,14%,2.24,1.54,17,15,9,8,46%,25%,54,29,13,24,6,8,1,1,0,0,3,9,1.45,3.87,-0.55,0.87,,,,
0.65,1.60,52%,48%,12,14,4,5,1,3,10,7,82%,83%,3,3,1.41,1.73,3,3,5,6,7,10,5,4,0,0,33,33,0,1,0,0,9,9,38%,38%,74%,74%,33%,14%,0.56,0.97,18,21,9,9,59%,65%,49,51,28,26,6,7,3,0,0,1,5,3,1.73,1.41,1.32,0.41,,,,
3.00,0.95,50%,50%,11,16,6,7,4,2,5,3,78%,85%,4,4,2.84,1.81,3,0,2,9,10,9,1,7,0,0,34,17,3,0,0,0,8,12,42%,46%,62%,84%,21%,32%,0.78,0.51,18,10,12,8,64%,67%,41,52,15,36,4,5,1,2,0,1,4,4,1.81,2.84,-1.19,0.56,,,0,2
0.70,1.56,51%,49%,9,20,3,2,0,1,2,2,85%,86%,1,0,0.71,0.28,4,9,2,9,8,16,1,4,1,1,12,31,0,0,0,4,12,15,37%,42%,65%,73%,0%,50%,0.24,1.13,16,25,15,12,71%,73%,48,58,14,18,7,3,1,0,0,1,2,1,0.28,0.71,0.28,-1.29,,,,
0.98,1.91,61%,39%,16,10,5,5,0,5,8,7,87%,79%,6,3,1.06,2.55,5,2,6,3,13,7,3,3,0,1,30,29,0,3,0,2,7,14,62%,42%,73%,68%,25%,29%,1.48,1.22,19,22,14,7,78%,58%,54,60,30,45,7,17,0,0,1,0,3,4,2.55,1.06,0.55,0.06,,,0,1
2.39,1.16,50%,50%,13,6,5,2,4,1,4,5,88%,87%,1,1,2.41,0.61,5,3,3,1,13,5,0,1,0,1,34,19,0,0,2,1,10,6,56%,36%,73%,62%,35%,18%,1.22,0.85,11,15,6,10,65%,75%,55,45,19,30,8,4,1,1,0,0,2,3,0.61,2.41,0.61,0.42,,,,
0.82,0.44,47%,53%,11,4,3,1,3,0,7,2,81%,80%,1,6,0.71,0.12,4,3,4,0,6,4,5,0,1,0,16,14,1,0,3,2,14,10,32%,49%,69%,66%,8%,13%,0.68,0.30,15,19,10,14,84%,52%,46,50,12,12,5,5,0,1,0,0,1,2,0.12,0.71,0.12,-0.29,,,1,0
1.56,0.32,69%,31%,18,3,7,1,2,1,9,1,90%,79%,1,2,2.06,0.10,7,1,4,1,11,2,7,1,0,0,40,8,0,0,1,0,12,5,61%,28%,79%,69%,14%,11%,1.42,0.17,12,14,5,12,87%,33%,44,23,9,33,3,13,0,1,0,0,1,5,0.10,2.06,0.10,-0.07,,,,
2.56,2.31,44%,56%,14,15,5,7,4,4,3,1,82%,87%,1,3,2.78,2.47,8,4,1,4,10,11,4,4,0,1,36,36,1,0,3,1,10,13,39%,41%,69%,74%,27%,33%,1.65,1.03,14,9,13,10,63%,60%,36,44,16,16,2,5,2,1,0,0,5,3,2.47,2.78,0.47,0.78,0,1,1,2
2.28,1.56,52%,48%,20,9,5,4,4,3,8,5,90%,87%,0,1,1.22,2.56,11,3,4,2,11,8,9,1,0,0,35,20,1,0,0,2,13,3,71%,35%,85%,74%,32%,20%,1.33,0.62,17,13,3,13,50%,65%,47,43,13,20,3,8,2,0,0,0,2,5,2.56,1.22,0.56,1.22,,,,
1.31,1.07,56%,44%,15,10,4,6,4,3,4,4,85%,79%,3,3,1.56,2.39,6,4,5,0,9,7,6,3,0,0,17,22,0,0,1,2,10,11,58%,33%,75%,56%,30%,33%,0.63,0.49,16,17,11,10,41%,64%,47,43,22,30,4,8,0,0,0,0,4,2,2.39,1.56,0.63,-0.44,,,2,1
0.68,3.39,47%,53%,8,23,1,10,1,8,4,8,77%,82%,1,1,0.02,3.32,2,6,5,7,7,17,1,6,0,1,16,35,0,4,2,3,10,12,30%,47%,53%,61%,14%,39%,0.55,2.14,17,15,12,10,57%,47%,49,42,28,16,7,11,0,0,0,0,8,1,3.32,0.02,1.32,0.02,,,,
1.89,0.63,45%,55%,15,10,6,3,1,1,2,8,84%,87%,4,2,2.04,0.36,6,3,3,4,14,6,1,4,0,0,39,22,0,0,1,0,13,9,51%,44%,76%,80%,50%,13%,1.48,0.45,18,9,9,13,60%,53%,35,44,28,16,3,4,0,0,0,1,3,4,0.36,2.04,0.36,0.04,0,1,,
0.29,0.99,66%,34%,10,6,4,3,2,2,10,0,86%,69%,4,5,0.44,1.41,3,3,3,0,8,4,2,2,0,1,28,15,0,0,2,0,12,19,57%,31%,79%,45%,16%,25%,0.64,0.56,14,17,19,12,50%,62%,46,48,34,22,3,5,0,0,1,0,2,4,1.41,0.44,0.41,0.44,0,1,,
0.96,1.05,64%,36%,18,11,6,7,1,3,5,5,86%,78%,1,0,1.27,1.23,8,1,4,3,10,9,8,2,0,0,33,19,0,0,0,0,9,15,55%,45%,76%,55%,26%,35%,0.78,0.73,18,14,15,9,64%,58%,40,44,29,28,5,14,1,0,1,0,4,5,1.23,1.27,-1.77,0.27,,,1,1
0.88,1.21,50%,50%,11,15,4,5,1,1,5,6,81%,85%,2,4,1.28,1.34,5,4,2,6,5,11,6,4,1,0,14,26,0,0,0,0,12,6,36%,46%,65%,74%,20%,19%,0.54,0.90,14,18,6,12,67%,46%,48,37,30,16,3,5,1,1,0,0,4,4,1.34,1.28,0.27,1.28,,,0,1
0.11,1.89,28%,72%,2,26,0,5,0,0,1,15,76%,89%,2,0,0.00,1.06,0,8,2,13,2,14,0,12,0,1,7,69,0,0,2,1,8,9,38%,56%,54%,88%,20%,23%,0.46,2.24,8,20,9,8,62%,50%,35,45,53,8,9,3,1,0,0,0,5,0,1.06,0.00,1.06,0.00,,,,
0.92,1.51,56%,44%,10,7,3,2,1,2,7,4,87%,84%,1,1,0.62,1.08,5,4,2,1,8,3,2,4,0,0,24,16,0,1,0,0,11,8,53%,44%,73%,65%,16%,27%,0.54,0.45,20,14,8,11,65%,60%,47,46,26,30,9,11,0,1,0,0,0,3,1.08,0.62,-0.92,0.62,,,,
2.56,0.71,49%,51%,20,12,3,4,2,0,7,4,73%,83%,3,8,1.07,1.20,11,2,6,6,14,7,6,5,1,0,43,17,1,1,1,1,15,9,35%,47%,61%,73%,23%,25%,1.31,0.67,24,20,9,15,73%,58%,52,47,30,57,10,8,0,2,0,0,3,2,1.20,1.07,0.20,0.07,,,,
2.91,1.17,35%,65%,17,11,7,2,5,3,3,6,84%,88%,2,2,3.04,0.23,6,5,4,4,14,9,3,2,2,0,34,35,0,0,6,0,11,10,35%,44%,65%,74%,50%,35%,1.32,1.07,12,24,10,11,65%,78%,40,30,33,11,12,3,0,1,0,0,1,4,0.23,3.04,-0.77,1.04,,,0,1
2.57,1.50,47%,53%,12,14,6,5,6,1,7,3,80%,82%,0,2,3.06,1.60,4,2,2,7,11,9,1,5,0,0,27,23,1,0,0,0,10,8,42%,27%,67%,77%,15%,30%,1.50,0.71,23,18,8,10,38%,71%,53,38,16,34,6,4,0,0,0,0,2,2,1.60,3.06,-1.40,-0.11,,,2,0
0.62,1.75,46%,54%,5,13,2,5,1,1,1,4,78%,83%,2,1,0.94,2.05,2,4,1,4,4,7,1,6,0,0,17,32,0,0,1,1,10,15,31%,56%,61%,76%,20%,17%,0.68,0.60,14,23,15,10,67%,64%,48,49,27,28,10,6,1,0,0,0,4,1,2.05,0.94,1.05,-0.06,,,,
1.10,0.48,56%,44%,11,7,2,2,2,2,1,3,74%,73%,2,2,0.84,0.32,4,5,5,0,6,4,5,3,0,0,19,12,1,0,3,4,15,18,40%,29%,57%,62%,24%,8%,0.86,0.30,29,26,18,15,66%,57%,66,60,14,30,6,6,0,1,1,0,1,1,0.32,0.84,-0.68,-0.40,,,,
1.43,1.06,51%,49%,13,9,4,2,3,3,2,3,85%,83%,0,2,1.57,1.15,5,5,4,2,12,6,1,3,0,0,33,10,3,1,3,0,16,7,38%,42%,74%,65%,13%,40%,0.97,0.73,14,13,7,16,75%,45%,47,34,14,17,8,9,1,0,0,0,0,3,1.15,1.57,-0.85,0.57,,,0,1
0.57,0.81,57%,43%,8,12,3,5,2,1,2,3,88%,85%,4,4,1.16,1.18,4,4,1,3,6,6,2,6,0,0,21,18,0,0,0,0,15,12,52%,38%,75%,72%,23%,17%,0.69,0.35,21,9,12,15,61%,87%,54,53,14,35,7,3,0,0,0,0,3,1,1.18,1.16,-0.82,-0.84,,,1,1
1.27,0.51,49%,51%,14,8,4,2,2,1,6,7,89%,87%,1,3,1.16,0.40,4,1,6,5,9,6,5,2,1,0,21,19,0,0,1,1,13,12,41%,47%,73%,71%,29%,40%,0.36,0.58,12,17,12,13,55%,77%,36,42,19,16,11,5,0,0,0,0,2,2,0.40,1.16,0.40,-0.84,,,,
