season,min_played,goals,assists,penalty_made,penalty_attempted,shots,shots_on_target,yellow_cards,red_cards,touches,tackles,interceptions,blocks,shot_creating_actions,goal_creating_actions,passes_completed,passes_attempted,pass_completion_percent,progressive_passes,carries,progressive_carries,take_ons_attempted,take_ons_successful
2021,90,0,1,0,0,0,0,0,0,38,2,1,0,2,1,13,30,43.3,1,24,4,2,2
2021,90,0,0,0,0,1,1,0,0,25,1,0,1,0,0,11,19,57.9,2,6,0,0,0
2021,10,0,0,0,0,0,0,0,0,13,0,0,0,0,0,8,10,80.0,2,11,1,5,2
2021,90,0,0,0,0,1,0,0,0,45,2,3,0,2,0,15,32,46.9,3,12,0,1,1
2021,73,0,0,0,0,0,0,1,0,29,1,2,1,1,1,14,23,60.9,2,4,0,0,0
2021,80,0,0,0,0,0,0,1,0,20,1,2,1,0,0,1,13,7.7,1,9,1,0,0
2021,90,0,0,0,0,0,0,0,0,45,0,1,0,0,0,23,37,62.2,3,8,1,0,0
2021,90,0,0,0,0,1,1,0,0,24,2,0,3,1,0,4,8,50.0,0,22,1,5,4
2021,17,0,0,0,0,0,0,0,0,16,0,0,0,2,0,9,12,75.0,1,3,0,0,0
2021,90,0,0,0,0,0,0,0,0,38,0,2,0,0,0,14,27,51.9,0,2,0,0,0
2021,90,0,0,0,0,0,0,0,0,53,6,1,1,0,0,23,42,54.8,7,14,1,1,0
2021,90,0,0,0,0,0,0,0,0,29,0,0,0,0,0,7,26,26.9,0,13,0,0,0
2021,90,1,0,0,0,2,1,0,0,25,0,0,0,2,0,8,10,80.0,2,22,3,1,1
2021,90,0,0,0,0,0,0,0,0,53,0,0,0,0,0,40,50,80.0,0,37,0,0,0
2021,84,0,0,0,0,1,1,0,0,25,0,0,1,2,0,15,18,83.3,4,21,0,0,0
2021,90,0,0,0,0,3,2,0,0,23,0,0,1,3,0,8,13,61.5,3,19,1,1,0
2021,90,0,0,0,0,1,1,0,0,98,1,2,0,0,0,68,91,74.7,8,65,1,0,0
2021,90,0,0,0,0,2,0,0,0,76,3,0,0,2,0,55,68,80.9,6,43,0,1,0
