player_id,player,pos,nation,born
1,Ainsley Maitland-Niles,"MF,DF",ENG,1997
2,Alexandre Lacazette,FW,FRA,1991
3,Bernd Leno,GK,GER,1992
4,Bukayo Saka,"FW,MF",ENG,2001
5,Calum Chambers,DF,ENG,1995
6,Cédric Soares,DF,POR,1991
7,Dani Ceballos,MF,ESP,1996
8,David Luiz,DF,BRA,1987
9,Eddie Nketiah,FW,ENG,1999
10,Emile Smith Rowe,"MF,FW",ENG,2000
11,Gabriel Magalhães,DF,BRA,1997
12,Gabriel Martinelli,FW,BRA,2001
13,Granit Xhaka,"MF,DF",SUI,1992
14,Héctor Bellerín,"DF,MF",ESP,1995
15,Joe Willock,MF,ENG,1999
16,Kieran Tierney,DF,SCO,1997
17,Martin Ødegaard,MF,NOR,1998
18,Mathew Ryan,GK,AUS,1992
19,Mohamed Elneny,MF,EGY,1992
20,Nicolas Pépé,FW,CIV,1995
21,Pablo Marí,DF,ESP,1993
22,Pierre-Emerick Aubameyang,FW,GAB,1989
23,Reiss Nelson,"FW,MF",ENG,1999
24,Rob Holding,DF,ENG,1995
25,Rúnar Alex Rúnarsson,GK,ISL,1995
26,Sead Kolašinac,DF,BIH,1993
27,Shkodran Mustafi,DF,GER,1992
28,Thomas Partey,MF,GHA,1993
29,Willian,FW,BRA,1988
30,Ahmed Elmohamady,DF,EGY,1987
31,Anwar El Ghazi,FW,NED,1995
32,Bertrand Traoré,FW,BFA,1995
33,Carney Chukwuemeka,"MF,FW",ENG,2003
34,Conor Hourihane,MF,IRL,1991
35,Douglas Luiz,MF,BRA,1998
36,Emiliano Martínez,GK,ARG,1992
37,Ezri Konsa,DF,ENG,1997
38,Jack Grealish,"FW,MF",ENG,1995
39,Jacob Ramsey,MF,ENG,2001
40,Jaden Philogene Bidace,FW,ENG,2002
41,John McGinn,MF,SCO,1994
42,Keinan Davis,"FW,MF",ENG,1998
43,Kortney Hause,DF,ENG,1995
44,Marvelous Nakamba,MF,ZIM,1994
45,Matt Targett,DF,ENG,1995
46,Matty Cash,DF,POL,1997
47,Morgan Sanson,MF,FRA,1994
48,Neil Taylor,DF,WAL,1989
