stadium_id,statium_name,capacity
Q619094,Dean Court,12000
Q163995,Emirates Stadium,60338
Q175339,Villa Park,42640
Q1546623,Gtech Community Stadium,17250
Q619409,Brighton Community Stadium,31800
Q171458,Stamford Bridge,41875
Q1066373,Selhurst Park,26255
Q188874,Goodison Park,39414
Q318043,Craven Cottage,25700
Q619558,Portman Road,30311
Q620031,King Power Stadium,32261
Q45671,Anfield,53394
Q48159,Etihad Stadium,55017
Q83457,Old Trafford,75731
Q191774,St James’ Park,52305
Q593446,City Ground,30404
Q567339,St Mary's Stadium,32589
Q55074091,Tottenham Hotspur Stadium,62850
Q172190,London Stadium,62500
Q380823,Molineux Stadium,30852
Q245085,Ewood Park,31367
Q726370,Ashton Gate Stadium,27699
Q683112,Turf Moor,21944
Q503848,Cardiff City Stadium,33280
Q842077,Coventry Building Society Arena,32609
Q201612,Pride Park Stadium,33597
Q630160,MKM Stadium,25400
Q619505,Elland Road,37792
Q1063683,Kenilworth Road,12056
Q822886,Riverside Stadium,34742
Q908481,The Den,20146
Q123017,Carrow Road,27244
Q1672134,Kassam Stadium,12500
Q619350,Home Park,17900
Q619531,Fratton Park,21100
Q1141958,Deepdale,24500
Q31670,Loftus Road,18439
Q897533,Bramall Lane,32702
Q642557,Hillsborough Stadium,39732
Q500922,Bet365 Stadium,27740
Q31969,Stadium of Light,48339
Q580480,Swansea.com Stadium,20750
Q10626,Vicarage Road,22000
Q31678,The Hawthorns,26445
