team_id,team_name,founded_year,stadium_id
Q19568,Bournemouth,1899,Q619094
Q9617,Arsenal,1886,Q163995
Q18711,Aston Villa,1874,Q175339
Q19571,Brentford,1889,Q1546623
Q19453,Brighton,1901,Q619409
Q9616,Chelsea,1905,Q171458
Q19467,Crystal Palace,1905,Q1066373
Q5794,Everton,1878,Q188874
Q18708,Fulham,1879,Q318043
Q9653,Ipswich Town,1878,Q619558
Q19481,Leicester City,1884,Q620031
Q1130849,Liverpool,1892,Q45671
Q50602,Manchester City,1894,Q48159
Q18656,Manchester utd,1878,Q83457
Q18716,Newcastle utd,1892,Q191774
Q19490,Nott'ham forest,1865,Q593446
Q18732,Southampton,1885,Q567339
Q18741,Tottenham,1882,Q55074091
Q18747,West ham,1895,Q172190
Q19500,Wolves,1877,Q380823
Q19446,Blackburn Rovers,1875,Q245085
Q19456,Bristol City,1897,Q726370
Q19458,Burnley,1882,Q683112
Q18660,Cardiff City,1899,Q503848
Q19580,Coventry City,1883,Q842077
Q19470,Derby County,1884,Q201612
Q19477,Hull City A.,1904,Q630160
Q1128631,Leeds United,1919,Q619505
Q18516,Luton Town,1885,Q1063683
Q18661,Middlesbrough,1876,Q822886
Q19487,Millwall,1885,Q908481
Q18721,Norwich City,1902,Q123017
Q48946,Oxford United,1893,Q1672134
Q19499,Plymouth Argyle,1886,Q619350
Q19604,Portsmouth,1898,Q619531
Q19612,Preston North End,1880,Q1141958
Q18723,Queens Park Rangers,1882,Q31670
Q19607,Sheffield utd,1889,Q897533
Q19498,Sheffield Wednesday,1867,Q642557
Q18736,Stoke City,1863,Q500922
Q18739,Sunderland A.,1879,Q31969
Q18659,Swansea City A.,1912,Q580480
Q2714,Watford,1881,Q10626
Q18744,West brom,1878,Q31678
